"kw20.BHI1.F"	"kw20.BHI1.G"	"kw20.BHI1.H"	"kw20.BHI2.F"	"kw20.BHI2.G"	"kw20.BHI2.H"	"kw20.BHI3.F"	"kw20.BHI3.G"	"kw20.BHI3.H"	"kw20.MIV0.A"	"kw20.MIV0.B"	"kw20.MIV0.C"	"kw20.MIV1.A"	"kw20.MIV1.B"	"kw20.MIV1.C"	"kw20.MIV2.A"	"kw20.MIV2.B"	"kw20.MIV2.C"	"kw20.MIV3.A"	"kw20.MIV3.B"	"kw20.MIV3.C"	"sxyx.MIV0.A"	"sxyx.MIV0.B"	"sxyx.MIV0.D"	"sxyx.MIV1.A"	"sxyx.MIV1.B"	"sxyx.MIV1.D"	"sxyx.MIV2.A"	"sxyx.MIV2.B"	"sxyx.MIV2.D"	"sxyx.MIV3.A"	"sxyx.MIV3.B"	"sxyx.MIV3.D"
"gene-HI_0977"	267.39	274.12	273.86	213.85	220.46	212.56	190.45	219.14	167.05	164.79	159.63	219.22	44.99	86.25	110.87	133.11	58.49	119.31	102.7	58.5	110.67	183.93	76.01	212.65	90.75	48.7	141.75	75.38	53.84	130.01	139.51	60.03	109.06
"gene-HI_0978"	314.95	349.68	329.52	341.14	307.93	315.04	296.79	345.78	315.87	383.5	381.63	319.51	327.63	280.05	214.58	277.05	293.33	212.57	336.57	150.67	71.14	395.78	438.67	287.55	304.93	330.51	218.04	311.41	320.24	215.76	294.5	313.63	220.78
"gene-HI_0979"	1922.2	1826.45	1731.2	2091.42	1958.7	2035.5	2096.33	1785.52	1979.54	1956.82	2523.41	2579.05	497.65	387.87	587.34	371.45	412.01	411.33	1044.31	447.86	591.15	2968.73	2657.45	2189.48	789.39	695.56	613.02	659.05	603.5	452.14	1383.63	952.52	713.13
"gene-HI_0980"	1323.53	1439.05	1426.79	1094.55	1114.13	1316.98	924.3	726.83	572.5	2014.75	2236.46	1628.19	236.47	217.35	193.16	222.78	212.42	207.07	381.23	184.88	231.65	3112.38	2672.71	1483.21	511.41	323.33	230	360.04	266.06	234.1	384.83	330.15	208.15
"gene-HI_0981"	219.39	206.56	208.53	213.8	200.5	192.43	180.73	188.56	162.84	244.75	204.84	196.03	242.42	275.68	222.05	247.7	232.74	219.22	165.99	280.54	312.59	241	217.89	183.91	242.46	184.48	187.33	280.33	231.44	217.19	175.81	138.1	189.95
"gene-HI_0982"	356.24	324.81	304.14	330.95	321.38	332.78	381.68	334.9	372.67	418.24	340.91	369.94	585.1	535.29	564.38	881.57	767.32	1050.4	536.99	334.8	147.04	321.34	387.01	404.84	428.67	471.75	513.57	400.64	463.66	411.69	378.21	443.46	443.03
"gene-HI_0983"	187.9	208.86	207.06	200.7	158.3	164.44	170.61	195.56	151.7	205.48	204.33	162.4	259.79	293.89	214.04	463	423.26	404.81	320.17	149.76	55.23	184.69	179.66	167.82	227.22	209.6	201.64	209.57	207.59	190.5	204.41	200.23	204.4
"gene-HI_0984"	175.98	160.45	160.19	164.85	126.49	146.48	152.87	153.59	148.49	205.77	169.01	157.3	283.32	294.11	226.59	561.57	512.94	544.26	300.19	193.83	68.85	160.69	163.48	146.85	224.39	230.79	187.36	223.02	228.75	177.49	208.39	213.23	190.62
"gene-HI_0985"	9.37	10.03	10.45	7.97	6.95	8.93	8.09	11.39	9.02	9	9.07	9.35	116.6	62.12	103.3	919.8	779.46	989.69	317.55	429.65	544.47	8.33	7.58	6.28	9	9.66	10.38	14.84	13.38	16.15	11.2	13.05	22.14
"gene-HI_0986"	13.31	13.49	14.89	4.8	4.35	3.62	3.9	5.85	4.81	3.51	4.06	5.15	8.03	8.44	18.77	6.8	6.63	10.31	32.19	13.07	18.68	4.46	4.98	6.08	8.29	9.64	9.43	6.15	5.88	9.43	17.58	16.57	35.55
"gene-HI_0987"	11.78	8.86	12.63	7.01	6.45	6.74	5.41	8.04	9.28	3.2	2.82	9.13	8.02	3.62	25.07	6.5	7.42	16.63	15.39	10.15	51.85	2.74	3.61	8.17	6.4	4.62	13.26	6.84	5.58	15.36	13.76	7.55	48.99
"gene-HI_0988"	25.9	28.72	25.26	15.72	15.5	15.31	13.81	16.77	12.71	10.57	9.28	16.02	16.17	14.15	36.07	12.16	14.88	22.14	27.41	19.44	44.57	9.27	11.24	17.96	13.49	14.75	27.85	12.08	11.77	21.51	18.1	25.24	54.56
"gene-HI_0989"	42.78	36.62	37.59	22.46	22.67	25.85	23.84	25.67	18.06	36.66	24.67	30.72	92.06	95.87	65.86	80.9	129.47	81.3	153.83	115.85	60.15	28.67	34.54	29	69.73	63.18	64.36	52.8	61.76	70.02	98.15	107.37	114.51
"gene-HI_0990"	378.66	421.05	414.94	203.18	258.39	240.02	256.38	273.54	247.49	429.42	306.48	241.61	314.14	310.38	271.59	199.78	225.81	286.69	225.7	123.33	125.47	343.48	354.97	279.64	305.25	311.27	329.74	245.15	235.5	245.87	222.77	221.11	256.28
"gene-HI_0991"	220.89	212.24	214.77	188.9	161.98	165.54	193.39	186.88	172.51	275.82	251.86	177.48	331.4	315.95	213.62	335.8	338.62	246.86	291.49	188.73	70.33	207.62	233.49	176.71	281.44	293.39	221.49	347.98	360.14	246.18	269.29	278.71	214.95
"gene-HI_0992"	408.13	411.28	394.6	394.95	351.91	350.52	397.63	374.95	374.5	564.77	458.87	369.99	753.29	804.9	478.89	975.29	965.17	785.54	712.66	672.69	120.37	388.67	431.49	398.83	613.48	616.78	513.55	884.32	920.63	692.07	569.28	628.3	584.08
"gene-HI_0993"	330.33	312.15	301.53	295.27	261.95	257.67	287	264.77	252.17	220.93	242.47	284.72	251.19	222.93	275.58	303.06	226.94	312.59	207.62	242.8	166.15	186.48	186.03	293.74	218.53	218.82	272.87	273.47	263.11	255.3	195.96	182.57	240.4
"gene-HI_0994"	26.95	26.85	26.53	17.26	22.46	20.93	28.37	31.57	32.87	30.94	30.77	25.12	47.55	43.42	91.93	30.1	39.12	157.77	29.02	36.28	63.92	27.35	21.68	28.94	49.68	41.48	87.65	29.83	21.49	55.23	32.12	28.09	38.69
"gene-HI_0995"	20.19	24.14	24.24	16.19	18.65	18.59	27.79	30.94	28.31	36.25	34.07	23.45	53.38	45.17	98.03	31.32	43.42	156.02	30.23	33.61	78.02	30.32	30.55	29.18	57.6	47.18	112.83	34.92	25.51	54.66	30	25.09	39.81
"gene-HI_0996"	11.92	11.1	12.78	12.75	12.17	12.15	10.97	11.28	9.79	13.8	13.94	10.93	19.15	14.98	27.04	19.78	14.63	41.1	15.37	16.32	24.43	16.03	10.33	11.33	16.75	8.72	30.45	17.92	13.45	15.45	14.93	10.45	22.47
"gene-HI_0997"	6.5	9.66	6.57	6.75	5.4	6.03	7.1	7.21	10.18	5.34	4.69	10.41	9.7	9.29	18.57	7.94	13.95	30.82	10.48	13.07	29.41	8.56	5.02	8.15	7.32	7.85	18.78	10.67	5.88	14.45	16.92	7.86	30.89
"gene-HI_0998"	1356.87	1346.76	1508.58	1232.43	957.37	988.43	1065.76	1019.16	924.21	1292.86	1488.53	932.55	915.12	1013.97	677.45	975.1	591.84	847.38	1005.89	534.31	369.78	1830.6	1918.76	904.34	1520.91	1272.59	585.85	1932.01	1166.37	506.06	1320.18	987.77	543.17
"gene-HI_0999"	1126.11	1121.55	1209.68	835.85	683.97	680.98	601.15	696.46	558.18	808.55	1089.59	672.11	349.64	507.97	411.18	380.31	264.46	387.02	476.66	268.93	225.96	1002.01	673.83	602.7	660.81	429.64	341.94	543.59	422.79	307.05	448.1	374.37	305.85
"gene-HI_1000"	503.07	561.13	612.33	438.92	412.73	375.61	291.87	387.83	267.42	442.23	501.21	345.83	119.73	157.19	167.27	76.55	79.3	120.01	122.79	76.77	136.23	409.8	320.35	338.53	216.78	155.02	151.07	131.97	108.75	109.54	122.41	104.94	107.26
"gene-HI_1001"	892.27	951.15	958.6	927	794.34	822.52	741.46	830.64	604.79	1057.74	1002.67	750.08	348.92	375.34	273.41	239.94	222.72	241.86	415.15	197.39	209.61	966	813.19	810.28	551.82	436.82	382.3	382.95	308.89	210.9	399.55	347.68	258.58
"gene-HI_1002"	162.51	142.57	139.7	103.24	100.22	90.88	96.26	114.91	114.9	56.52	76.12	110.75	45.37	36.94	74.52	40.68	31.6	72.79	94.21	30.29	80.2	70.04	61.29	117.26	58.28	46.91	59.02	64.76	59.76	45.63	99.49	90.88	81.5
"gene-HI_1004"	481.33	472.51	476	368.7	398.3	374.84	378.67	384.74	390.87	421	373.69	375.68	283.04	265.59	311.89	234.2	191.66	284.93	303.48	206.49	233.89	444.48	310.68	446.42	308.49	248.6	317.15	271.95	222.78	220.28	324.56	261.45	281.17
"gene-HI_1005"	96.12	95.53	99.58	45.98	43.05	36.48	41.74	46.78	39.16	27.98	29.92	44.47	9.7	13.38	41.13	15.8	12.09	45.66	26.3	8.64	59.17	46.71	29.85	43.1	18.11	12.38	23.14	13.18	10.97	16.73	46.24	21.25	29.3
"gene-HI_1006"	152.98	134.8	140.68	120.65	96.77	105.52	110.79	109.51	104.91	123.25	129.39	131.7	66.77	92.06	114.6	109.08	79.1	116.74	96.89	113.14	98.14	150.23	83.78	134.26	110.13	58.09	88.75	120.42	84.4	61.21	114.7	80.14	98.76
"gene-HI_1007"	219.88	213.43	204	136.46	153.92	130.16	129.26	152.87	153.17	82.13	120.59	163.53	89.45	67.88	190.33	85.21	61.83	152.87	74.61	59.46	105.65	108.01	101.46	154.61	79.87	83.87	114.33	83.45	87.09	83.38	73.16	88.45	132.08
"gene-HI_1008"	56.87	69.48	109.46	64.74	52.66	59.5	71.52	118.68	90.49	57.18	65.32	61.06	551.37	338.12	679.11	7419.26	7234.27	8675.76	4029.25	5579.03	19279.21	71.56	39.58	40.7	102.97	64.19	86.09	162.25	113.19	139.01	109.47	62.19	110.48
"gene-HI_1009"	188.85	191.22	194.94	158.24	163.53	176.36	147	150.57	159.82	231.47	191.36	158.14	180	204.54	171.41	175.74	206.51	152.18	206.65	153.57	185.86	195.75	150.9	172.56	194.68	139.18	172.34	173.82	133.33	151.67	201.17	138.84	160.92
"gene-HI_1010"	9.75	10.47	9.22	278	274.52	237.27	16.89	15.53	14.16	18.04	67.05	81.68	14.46	7	95.4	15.22	11.79	66.83	10.71	17.49	58.07	3.47	3.62	76.72	12.37	15.63	66.65	11.68	11.93	58.71	6.77	11.15	59.4
"gene-HI_1011"	16.76	13.3	12.25	297.44	306.09	284.21	19.68	22.5	16.29	37.99	82.39	74.96	35.71	13.99	99.03	22.62	17.05	70.34	21.23	28.6	27.33	6.16	9.78	85.18	30.83	29.55	73.05	21.12	17.9	65.51	11.99	20.36	58.86
"gene-HI_1012"	17.94	17.01	17.8	309.44	332.15	291.25	21.98	21.35	17.51	57.32	95.34	86.3	43.85	24.21	99.33	32.84	32.54	73.15	31.1	32.09	25.53	10.4	16.88	99.57	49.02	43.62	81.66	28.96	31.43	73	18.32	30.42	75.65
"gene-HI_1013"	16.69	18.03	18	276.96	279.68	285.2	27.03	21.74	18.5	79.69	121.57	73.59	74.32	65.13	89.29	52.6	67.27	65.79	48.79	49.58	26.58	16.89	25.09	91.13	79.55	88.4	75.62	53.41	56.44	75.84	33.99	51.65	78.92
"gene-HI_1014"	41.04	39.23	40.17	521.32	536.28	541.9	202.43	96.67	54.66	201.09	283.72	138.28	250.6	331.72	247.52	233	287.57	229.19	220.23	268.14	67.05	50.16	55.47	167.84	232.37	211.92	183.07	236.29	220.04	269.41	164.01	173.34	204.03
"gene-HI_1015"	35.22	37.82	34.65	348.23	382.09	400.04	181.7	91.61	60.54	131.31	213.13	112.43	193.76	248.63	163.72	171.79	217.07	137.32	154.55	180.72	51.29	50.14	67.05	111.17	157.92	185.31	133.75	168.9	184.62	177.21	115.93	160.22	142.69
"gene-HI_1016"	65.36	61.32	62.94	570.51	647.97	577.37	349.28	195.43	122.43	216.77	309.86	177.13	413.08	349.27	278.89	265.48	364.41	214.89	277.48	247.75	83.72	92.55	121.72	185.18	276.26	299.64	214.75	313.47	346.21	276.07	225.34	278.44	228.84
"gene-HI_1017"	26.86	28.21	19.57	37.86	37.39	43.17	29.1	27.27	26.8	19.59	23.89	22.82	20.26	18.93	30.09	21.64	25.34	25.94	17.12	27.24	31.61	17.57	18.73	27.68	16.78	20.01	19.83	23.54	18.83	27.57	21.09	23.55	28.99
"gene-HI_1019"	368.69	345.07	324.62	563.35	505.34	498.92	674.82	616.19	475.12	419.98	480.71	389.42	233.83	270.74	227.78	220.5	416.76	193.47	1203.03	1151.35	1051.9	266.96	292.72	454.27	141.87	138.82	227.25	161.03	174.23	249	609.88	705.69	823.65
"gene-HI_1020"	121.52	106.5	108.41	120.27	112.28	99.62	121.46	137.85	90.87	81.24	114.5	82.47	31.15	40.16	41.38	28.73	47.33	34.92	150.8	127.24	45.98	51.17	45.81	90.15	20.6	20.91	42.96	27.18	27.77	40.66	75.47	83.56	104.2
"gene-HI_1021"	135.66	118.48	118.72	121.93	125.44	109.17	131.77	149.76	122.93	60.57	84.77	104.87	47.33	41.8	81.67	30.68	32.68	54.32	79.56	65.78	71.22	45.58	37.76	124.61	30.02	36.14	80.25	31.02	25.38	57.59	53.23	67.27	111.31
"gene-HI_1022"	383.53	358.63	357	343.63	362.32	343.35	374.84	374.79	316.12	263.96	325.1	379.95	137.82	135.03	176.25	128.14	150.83	157.56	203.51	175.06	257.89	238.81	253.61	386.44	113.55	126.28	193.49	117.9	123.57	164.4	152.85	174.62	211.31
"gene-HI_1023"	1226.79	1124.92	1080.83	965.59	871.21	854.17	926.56	835.29	733.07	1233.59	1022.34	935.84	1708.15	1776.21	1352.5	1504.09	1600.83	1113.43	921.63	849.36	309.62	841.91	1180.37	1015.98	1260.29	1523.86	1380.79	1199.33	1660.54	1252.88	747.13	1073.8	1001.07
"gene-HI_1024"	55.32	62.89	62.18	43.58	46.57	44.94	44.16	48.65	48.29	65.1	61.52	48.37	125.53	178.22	146.37	157.36	195.94	117.12	108.99	69.85	39.46	53.92	53.2	52.6	108.79	93.57	132.79	109.75	113.41	178.73	105.28	100.09	128.52
"gene-HI_1025"	44.62	54.06	49.5	41.46	41.23	43.37	46.06	47.74	52.22	54.32	56.98	47.53	108.48	192.78	142.73	146.88	178.14	118.61	105.78	84.53	59.86	45.57	38.65	51.56	91.02	94.04	131.7	121.68	116.84	181.39	99.12	97.11	137.82
"gene-HI_1026"	21.25	25.58	24.89	19.65	24.54	23.18	21	26.32	24.63	26.42	31.17	23.49	52.75	134.89	94.55	111.9	106.66	75.19	78.91	57.54	23.78	25.36	15.37	24.47	62.78	47.6	73.11	71.81	62.53	134.27	69.35	61.97	94.84
"gene-HI_1027"	25.82	23.16	23.89	22.07	22.35	22.25	24.13	28.6	25.77	28.35	30.97	20.74	71.69	118.85	91.05	102.53	160.11	95.42	91.94	63.53	33.99	27.93	25.7	21.73	74.36	63.41	80.06	104.7	110.31	135.21	81.13	86.58	104.4
"gene-HI_1028"	28.48	30.49	26.31	34.12	29.65	29.23	36.71	41.94	43.75	30.03	26.72	26.72	157.03	262.25	225.76	292.64	329.07	326.59	176.73	162.13	43.85	27.91	19.13	35.9	121.32	109.43	214.91	206.59	213.85	480.4	178.37	176.66	301.36
"gene-HI_1029"	24.46	24.7	26.35	27.35	20.64	19.15	25.29	26.34	25.01	30.15	24.31	17.45	69.79	115.12	84.36	101.73	172.04	107.05	72.72	67.35	60.28	22.58	22.47	20.13	62.77	64.96	91.52	96.28	97.06	150.75	68.73	79.89	113.35
"gene-HI_1030"	11.25	11.08	11.59	13.66	10.46	8.71	14.04	13.52	11.93	9.39	13.47	10.5	37.14	92.84	76.65	89.94	137.66	95.27	55.02	50.79	52.1	8.97	4.75	10.98	42.06	35.96	74.74	53.98	53.92	146.73	53.27	43.52	90.34
"gene-HI_1031"	14.74	16.23	16.66	16.02	11.82	11.23	15.58	14.14	15.1	11.55	17.34	10.97	112.79	161.36	114.14	148.22	297.08	162.22	79.47	116.69	104.61	11.78	14.95	9.15	78.51	104.09	111.26	114.95	151	225.38	70.63	103.28	129.07
"gene-HI_1032"	244.97	304.74	259.75	188.99	198.86	158.18	151.2	200.86	187.75	181.04	185.2	134.1	94.64	161.19	208.71	205.22	156.86	205.88	219.67	269.5	354.02	177.3	90.59	166.55	162.8	82.84	136.38	212.17	135.29	199.08	231.05	133.57	212.42
"gene-HI_1033"	254.45	242.24	209.48	195.04	226.55	183.3	176.08	180.17	240.74	166.64	198.66	183.23	190.09	167.5	289.09	188.56	199.96	258.51	162.69	206.83	182.61	153.92	151.25	232.43	143.65	157.76	170.26	189.87	208.82	163.23	181.39	184.23	200.46
"gene-HI_1034"	689.48	744.05	694.15	684.93	745.02	637.33	695	720.46	709.7	1035.91	619.91	582.85	1247.81	1221.13	1117.32	1428.69	1061.84	1409.76	1032.37	1429.64	1830.74	886.31	697.79	749.85	1169.38	821.1	853.92	1494.49	992.32	1110.35	1057.99	764.74	933
"gene-HI_1035"	279.52	282.9	288.94	229.66	192.34	222.74	249.53	140.86	141.54	324.79	272.43	287.24	80.67	89.27	95.64	38.08	65.8	114.92	138.32	56.97	171.05	339.09	378.93	306.74	113.39	151.82	110.94	54.38	61.15	69.52	136.62	144.02	137.68
"gene-HI_1036"	341.8	388.44	378.27	273.83	335.98	397.88	374.18	296.6	394.92	175.35	164.36	364.61	57.18	111.3	181.48	102.88	127.48	201.4	142.22	101.74	239.1	228.05	117.72	399.33	99.28	75.58	190.33	95.23	52.49	152.75	231.88	107.98	247.34
"gene-HI_1037"	298.07	319.36	311.56	357.49	303.06	342.76	289.59	311	389.16	305.46	201.89	315.91	222.61	213.65	245.21	234.58	284.55	192	380.03	436.45	293.4	371.65	240.62	302.14	236.87	161.14	254.77	250.94	167.91	202.47	364.72	246.66	265.02
"gene-HI_1037.1"	60.6	67.45	70.92	47.45	46.97	50.89	37.61	40.05	38.95	14.08	12.83	48.12	10.31	9.92	27.44	23.03	21.16	29.55	17.11	12.68	29.6	17.2	16.01	45.55	10.37	8.64	17.63	13.21	7.43	20.7	27.41	12.66	32.44
"gene-HI_1038"	46.04	49.02	52.16	42.01	44	52.29	49.5	40.18	37.29	76.3	54.56	52.72	89.71	80.89	63.24	82.87	114.67	79.59	109.53	97.81	82.55	73.13	74.4	50.98	80.91	79.1	59.36	84.56	77.46	55.89	82.22	83.74	68.25
"gene-HI_1040"	201.52	225.53	220.43	189.84	184.47	180	174.6	177.48	165.83	177.25	166.87	189.5	68.17	130.62	136.99	159.74	122.7	144.26	153.07	148.53	240.86	194.06	74.8	180.98	126.5	66.6	159.55	111.06	68.59	140.84	170.12	82.9	130.02
"gene-HI_1041"	300.71	332.75	306.02	222.44	283.06	256.29	212.99	243.14	230.11	183.92	184.65	213.51	66.61	109.6	169.21	94.21	63.97	121.24	102.68	85	127.96	183.78	105.38	269.4	99.31	78.31	180.76	78.22	52.36	127.98	133.21	64.76	138.3
"gene-HI_1043"	11.75	10.13	14.86	13.04	9.25	12.81	11.37	11.77	17.11	11.99	10.29	12.07	22.28	28.09	22.62	25.91	34.2	24.46	28.33	19.45	51.25	13.05	16.36	9.41	23.23	19.01	15.18	27.1	22.93	22.23	28.67	16.24	32.81
"gene-HI_1044"	17.41	22.99	19.05	29.92	24.09	30.42	32.26	33.72	39.91	28.14	24.09	28.88	34.89	54.51	43.96	57.17	68.89	48.1	56.11	38.99	36.09	30.86	15.58	25.42	46.28	26.42	36.9	50.14	40.12	59.07	52.45	37	55.06
"gene-HI_1045"	14.69	19.59	17.19	28.68	25.69	23.93	29.89	30.27	30.92	20.12	19.67	21.15	27.15	31.93	30.97	40.93	59.02	35.92	40.33	39.03	44.47	20.29	21.4	22.31	30.78	23.93	21.81	42.28	45.23	44.03	39.19	43.74	41.28
"gene-HI_1046"	10.78	9.9	11.21	19.58	22.94	21.34	21.22	22.46	28.68	8.42	11.23	18.51	20.89	25.44	34.29	26.91	49.53	27.12	24.6	27.12	29.35	8.85	8.65	14.7	17.93	18.1	15.32	27.81	32.56	39.27	22.4	31.48	43.84
"gene-HI_1047"	9.82	9.8	9.31	25.21	26.27	28.37	25.56	28.57	88.56	9.03	10.62	24.48	24.33	29.99	40.71	40.47	52.64	35.74	31.66	46.27	39.46	9.3	7.7	17.57	23.37	20.43	15.55	37.1	42.49	43.36	30.32	38.28	44.98
"gene-HI_1048"	104.14	106.26	102.15	98.09	93.28	95.5	93.81	96.39	93.3	115.6	208.19	324.33	275.06	344.31	196.84	268.8	475.6	215.56	398.94	464.08	362.05	118.17	279.48	94.44	170.39	188.31	195.57	256.95	347.57	192.8	371.21	434.79	354.04
"gene-HI_1049"	63.43	64.71	63.21	58.63	42.08	54.22	50.47	52.86	45.59	35.15	94.43	185.49	95.07	135.95	107.94	130.39	170.92	105.83	211.79	137.54	59.86	50.4	91.49	44.04	65.96	59.15	107.45	76.97	110.59	121.28	179.67	159.57	220.06
"gene-HI_1050"	50	50.65	42.24	38.76	38.67	41.46	43.69	35.22	41.35	48.81	89.79	146.69	53.22	136.87	103.14	107.23	124.9	87.11	164.1	115.89	51.49	55.36	48.53	45.79	68.85	34.77	88.74	90.46	77.78	107.84	169.76	108.61	167.06
"gene-HI_1051"	290.63	301.17	309.95	161.09	163.59	170.53	148.28	150.14	110.24	192.89	221.02	165.21	46.03	44.62	47.22	38.97	38.35	48.6	74.45	24.78	61.61	221.1	223.33	178.08	62.2	62.9	38.95	52.8	50.75	34.1	77.01	75.29	53.29
"gene-HI_1052"	68.07	75.57	70.53	60.75	58.31	56.14	58.64	55.26	59.27	80.63	69.49	57.53	45.12	60.54	57.13	73.72	63.1	55.71	78.3	49.35	56.85	72.76	52.66	69.7	73.71	41.79	70.17	61.66	40.01	57.91	76.66	50.86	70.45
"gene-HI_1053"	44.69	47.04	49.23	120.53	106.7	120.02	74.38	51.72	58.04	50.12	52.38	52.51	84.85	59.3	96.82	80.36	67.55	102.92	51.67	41.01	87.69	59.32	59.3	43.67	71.29	75.38	99.4	74.02	70.7	77.28	61.48	39.25	58.16
"gene-HI_1054"	32.14	31.98	33.57	30.5	26.67	34.22	28.59	30.91	38.26	53.98	51.81	25.7	42.59	47.39	34.7	35.57	39.4	30.68	38.73	27.2	20	37.08	27.97	27.92	39	28.05	34.35	28.12	26.93	27.04	33.43	25.34	34.14
"gene-HI_1055"	56.76	47.63	55.2	45.94	52.54	47.93	44.08	57.73	55.44	90	87.41	38.3	80.65	63.84	47.14	49.43	64.43	36.82	54.7	44.62	36.38	71.74	66.07	41.09	58.58	59.9	44.41	48.76	46.36	35.29	47.65	48.09	38.72
"gene-HI_1056"	47.74	46.67	44.03	39.46	42.71	43.7	36.14	48.39	49.03	43.14	45.82	29.65	26.91	28.28	33.53	28.44	25.57	23.94	26.94	25.83	39.9	37.25	31.55	40.47	26.81	26.82	25.26	22.28	21.22	25.07	28.58	22.88	34.99
"gene-HI_1058"	192.09	195.34	189.51	159.32	184.53	176.26	163.85	191.3	212.95	218.12	216.73	160.76	162.74	147.15	127.02	97.95	139.05	101	176.09	145.57	186.32	204.6	228.04	173.17	178.17	168.65	112.38	163.13	164.42	112.52	156.55	174.06	121.24
"gene-HI_1059"	177.14	182.39	175.41	154.92	157.77	152.33	140.74	152.83	120.43	200.38	200.64	159.28	94.27	81.86	91.75	64.54	70.17	74.78	85.4	33.12	74.67	154.55	213.65	154.2	109.24	127.84	90.55	82.01	90.76	67.02	84.65	85.14	77.83
"gene-HI_1060"	335.69	353.7	339.85	314.44	301.89	292.51	260.06	265.74	189.27	381.58	377.28	283.95	114.75	109.04	103.34	66.75	82.31	76.45	102.89	45.58	58.02	288.16	306.66	297.28	153	145.64	114.47	95.55	101.85	71.35	95.36	98.02	96.55
"gene-HI_1061"	696.31	557.63	583.46	575.69	498.87	532.04	644.29	471.37	431.77	738.45	680.8	643.4	717.34	617.11	555.96	453.74	488.4	410.27	470.72	320.44	169.33	617.24	749.65	649.67	617.77	645.59	521.96	541.94	584.43	423.78	463.53	446.89	399.63
"gene-HI_1062"	1101.41	888.62	925.27	888.97	807.89	880.09	1004.15	778.7	717.99	1058.85	930.31	981.1	919.46	902.3	931.28	761.87	669.75	656.44	638.52	675.02	411.37	892.02	890.97	1003.19	887.27	838.66	849.25	774.16	781.96	705.61	733.32	595.28	692.62
"gene-HI_1063"	82.61	84.15	92.42	78.92	61.53	77.81	66.55	72.67	68.99	93.26	87.52	76.32	36.91	77.54	66.63	61.9	47.91	54.1	44.28	37.2	37.09	84.34	28.22	64.52	70.24	25.03	98.02	59.06	17.63	69.45	55.15	25.78	57.79
"gene-HI_1064"	99.24	96.92	99	89.11	82.95	88.43	99.95	90.91	77.18	97.62	83.97	91.08	67.49	89.13	69.76	55.65	48.33	55.76	52.5	38.35	39.17	81.86	75.75	92.73	76.13	69.22	119.3	59.24	45.94	68.69	57.78	48.03	64.14
"gene-HI_1065"	216.59	207.6	192.36	213.6	256.49	241.81	334.09	289.56	323.95	216.96	222.56	303.67	542.46	542.68	1011.88	709.63	397.19	1184.18	274.45	705.27	448.93	201.81	207.08	325.67	347.32	336.94	628.09	513.56	532.14	661.87	218.6	315.51	535.69
"gene-HI_1066"	51.38	43.57	45.11	26.99	27.13	28.55	31.2	29.06	38.03	32.42	30.18	30.04	58.87	63.88	61.42	36.54	50.32	30.58	35.93	22.44	33.27	34.84	28.85	33.62	40.41	54.1	58.09	35.26	42.29	27.45	48.64	46.88	45.06
"gene-HI_1067"	40.84	40.78	44.41	37.11	36.58	37.76	36.44	40.13	46.58	50.92	44.56	37.08	108.64	107.77	67.3	84.06	128.92	52.53	88.46	74.82	63.04	51.49	54.81	36.18	74.64	99.89	67.77	84.97	97.24	57.61	101.09	100.89	64.54
"gene-HI_1068"	47.25	45.01	46.4	36.79	34.84	35.94	36.09	37.88	47.7	47.87	39.31	41.78	109.87	110.4	63.96	64.93	123.55	50.76	80.81	52.43	49.57	50.48	52.78	43.94	72.78	103.55	82.97	66.35	82.59	46.13	85.04	85.02	61.83
"gene-HI_1069"	62.91	61.36	59.67	50.49	45.73	48.85	40.35	47.52	119.41	61.57	44.84	52.31	157.18	172.82	87.15	108.25	188.18	55.13	83.75	85.44	62.52	58.48	65.86	51.2	99.41	137	131.47	86.67	116.14	71.75	79.86	96.51	75.89
"gene-HI_1070"	191.45	189.75	170.3	177.09	161.08	153.99	166.61	173.57	155.66	124.86	147.42	169.81	143.72	116.47	174.9	153.95	157.86	198.2	136.78	124.81	86	117.49	119.5	175.5	124	126.65	146.61	154.29	161.28	148.58	121.28	129.08	143.4
"gene-HI_1073"	266.39	301.47	288.73	260.95	229.72	258.79	244.12	260.27	234.59	280.03	259.12	226.08	205.22	233.78	207.88	273.96	342.44	260.64	233.19	260.36	122.59	228.41	218.92	255.61	238.38	182.23	211.94	269.21	259.9	207	213.09	234.47	219.96
"gene-HI_1074"	201.8	212.29	189.41	156.34	138.41	139.34	145.35	132.88	125.76	124.3	133.37	146.47	92.33	108.8	129.23	134.77	119.21	136.21	126.13	132.29	148.65	162.15	115.14	144.15	108.45	89.89	120.28	134.12	110.73	107.33	137.75	104.46	109.35
"gene-HI_1075"	1021.75	887.61	909.21	1168.01	1063.23	1129.49	1124.49	1151.14	1234.18	274.46	414.87	990.88	293.96	320.5	810.35	339.66	206.58	421.89	219.38	127.36	112.29	319.6	249.5	1100.48	267.87	271.38	940.04	289.44	322.74	604.52	198.54	361.33	629.55
"gene-HI_1076"	1368.16	1222.45	1174.67	1528.09	1396.04	1519.67	1521.96	1536.66	1539.06	985.99	956.8	1367.16	799.56	1149.43	1188.04	1026.79	788.86	682.47	684.77	643.93	194.71	891.92	628.34	1539.45	966.5	714.48	1253.98	1089.5	1022.56	904.25	637.22	681.87	843.96
