"kw20.BHI1.F"	"kw20.BHI1.G"	"kw20.BHI1.H"	"kw20.BHI2.F"	"kw20.BHI2.G"	"kw20.BHI2.H"	"kw20.BHI3.F"	"kw20.BHI3.G"	"kw20.BHI3.H"	"kw20.MIV0.A"	"kw20.MIV0.B"	"kw20.MIV0.C"	"kw20.MIV1.A"	"kw20.MIV1.B"	"kw20.MIV1.C"	"kw20.MIV2.A"	"kw20.MIV2.B"	"kw20.MIV2.C"	"kw20.MIV3.A"	"kw20.MIV3.B"	"kw20.MIV3.C"	"sxyx.MIV0.A"	"sxyx.MIV0.B"	"sxyx.MIV0.D"	"sxyx.MIV1.A"	"sxyx.MIV1.B"	"sxyx.MIV1.D"	"sxyx.MIV2.A"	"sxyx.MIV2.B"	"sxyx.MIV2.D"	"sxyx.MIV3.A"	"sxyx.MIV3.B"	"sxyx.MIV3.D"
"gene-HI_0056"	473.44	461.56	460.82	390.02	348.03	339.2	333.07	349.78	284.05	495.85	464.94	382.3	202.93	193.01	187.3	169.03	182.69	165.65	303.94	156.9	153.16	540.95	433.12	381.74	268.08	224.71	225.23	228.85	182.25	181.59	294.36	234.9	206.98
"gene-HI_0057"	140.55	139.1	138.71	132.66	109.24	103.59	122.13	138.69	108.43	101.37	110.78	102	136.72	114.04	118.15	92.55	88.9	88.39	148.61	47.98	64.67	93.85	105.68	106	124.95	117.99	143.31	104.8	104.84	102.1	106.71	96.87	109.71
"gene-HI_0058"	165.04	163.37	154.99	175.36	146.87	140.13	152.31	187.32	166.72	130.67	146.03	148.01	185.98	143.79	136.3	132.57	120.42	128.45	196.78	62.03	52.35	128.99	145.33	149.87	164.34	171.23	188	156.73	156.65	144.06	143.48	161.46	149.82
"gene-HI_0059"	78.17	70.67	70.78	56.59	46.31	46.45	61.2	64.68	71.28	47.55	74.17	49.95	70.53	53.83	46.86	52.28	51.94	42.68	90.28	19.24	26.78	67.03	70.14	53.03	67.98	60.88	58.35	67.19	56.3	35.77	65.61	65.69	40.72
"gene-HI_0060"	493.1	446.36	478.7	301.44	277.76	290.91	301.36	279.15	257.93	309.23	328.34	323.79	202.24	180.41	192.91	213.47	189.91	233.63	246.26	148.23	97.32	322.44	292.72	343.35	204.59	183.69	215.9	212.22	171.42	153.13	200.33	158.3	154.28
"gene-HI_0061"	5.72	5.87	6.65	5.43	4.87	4.17	5.18	5.45	5.74	5.41	4.55	4.79	16.2	12	22.19	93.88	96.71	93.56	120.93	82.38	67.97	6.79	5.13	5.3	7.86	8.05	9.12	9.92	5.84	9.97	10.08	7.3	22.26
"gene-HI_0062"	638.92	644.86	635.88	712.66	638.52	735.39	638.53	536.11	409.78	900.29	770.29	704.98	520.91	598.51	344.03	427.89	516.48	340.58	1064.32	2446.79	3893.57	1443.95	1413.34	648.74	1014.86	1042.04	530.01	751.01	783.28	423.91	1018.29	988.73	760.66
"gene-HI_0063"	257.87	247.4	255.5	207.12	206.67	206.7	225	206.19	180.25	274.42	256.63	221.02	192.31	165.82	146.78	144.18	165.47	140.91	188.26	141.54	127.25	273.88	305.93	207.5	197.52	190.52	170.48	186.05	182.66	144.45	201.12	176.34	171.48
"gene-HI_0064"	225.11	232.29	241.19	161.04	163.5	175.95	156.21	180.96	143.97	224.54	247.85	150.09	188.67	164.27	134.46	130.39	156.65	129.27	148.44	128.41	84.39	243.2	251.81	140.14	167.11	163.92	123.41	177.72	158.57	120.45	136.32	145.41	119.5
"gene-HI_0065"	184.73	179.55	185.58	156.67	165.08	156.43	169.15	171.91	167.94	211.25	171.01	146.83	232.96	205.81	185.74	235.79	181.02	200.07	213.66	193.23	158.11	211.14	172.74	154.64	207.29	176.24	188.42	231.1	159.15	167.62	207.21	161.45	180.16
