transcript_id	kw20-BHI1-F	kw20-BHI1-G	kw20-BHI1-H	kw20-BHI2-F	kw20-BHI2-G	kw20-BHI2-H	kw20-BHI3-F	kw20-BHI3-G	kw20-BHI3-H	kw20-MIV0-A	kw20-MIV0-B	kw20-MIV0-C	kw20-MIV1-A	kw20-MIV1-B	kw20-MIV1-C	kw20-MIV2-A	kw20-MIV2-B	kw20-MIV2-C	kw20-MIV3-A	kw20-MIV3-B	kw20-MIV3-C	sxyx-MIV0-A	sxyx-MIV0-B	sxyx-MIV0-D	sxyx-MIV1-A	sxyx-MIV1-B	sxyx-MIV1-D	sxyx-MIV2-A	sxyx-MIV2-B	sxyx-MIV2-D	sxyx-MIV3-A	sxyx-MIV3-B	sxyx-MIV3-D
gene-HI_0075	1283	1640	1261	4782	3812	3037	6008	5657	3129	5602	7586	1641	12439	16557	6579	4952	3614	4583	4365	1808	657	5228	6486	3681	21815	20807	10738	7760	10691	6717	5412	8130	5681
gene-HI_0076	2578	2720	2241	2572	2424	1867	2281	1960	1681	2601	2461	1787	1650	2254	1276	1181	1158	1069	1073	1173	375	3188	3174	3263	2092	1765	1670	1591	1730	1020	1088	1466	1227
gene-HI_0077	1464	1615	1342	1392	1245	1004	1224	1184	988	1479	1740	895	1112	1616	719	982	936	756	938	813	195	2058	2131	1649	1728	1125	893	1258	1264	715	977	1115	804
gene-HI_0078	7352	7481	7400	7708	7631	6248	6889	6664	5987	6225	6748	5036	4834	5714	3962	3222	4990	2739	4991	4609	1390	10315	8525	8863	6605	5027	5617	4555	4995	4052	6995	6639	5229
gene-HI_0079	5345	5934	5756	7866	8039	6165	6710	6287	7014	5116	5928	4746	4005	5574	3940	4068	2560	3632	5044	2591	1394	8173	6446	8345	6892	4793	6234	5760	5915	3861	7019	6637	5999
gene-HI_0080	3156	3882	3667	5215	5027	4033	4162	4662	4740	2798	3207	2880	1150	2963	2173	2384	1050	1830	2956	1423	853	5224	2358	4867	3469	1518	3540	2922	2038	2364	4082	2515	3552
gene-HI_0081	3166	3904	3658	2971	2613	1913	1889	2827	2101	1843	2694	984	737	902	797	529	630	471	1129	642	353	2906	2148	1784	1375	874	1008	922	953	732	1100	1238	1275
gene-HI_0082	196	276	231	247	188	143	178	254	200	197	237	128	177	378	234	322	636	320	331	274	188	269	247	160	279	170	276	380	398	349	426	375	306
gene-HI_0083	268	298	284	207	171	141	118	172	121	148	172	123	84	152	147	130	215	193	177	244	266	284	189	199	130	97	154	181	140	209	198	175	168
gene-HI_0084	3922	4028	5028	4150	3728	3013	4058	3311	2554	5155	4286	2438	4046	4765	2564	3858	3168	2483	3630	4600	3098	9651	6865	4287	6479	3533	4070	5776	4585	2751	4804	3880	3206
gene-HI_0085	4379	4712	4380	4007	4234	3289	3805	3881	3642	2880	3669	2666	3650	5008	3430	2809	3295	2399	3240	2178	458	4466	3837	5028	4373	3642	4547	3198	3982	3717	3215	4728	4493
gene-HI_0086	5839	6098	5840	6113	5700	4698	5133	5344	4680	4423	5162	3576	4154	5940	3931	2939	3866	2551	3819	3199	744	5755	5703	7034	5258	4079	5403	3695	4389	4195	3652	4886	4854
rna-HI_t01	3822	3818	3747	4692	2923	2406	3173	2737	2503	3986	3802	1912	4555	4617	3438	3726	3621	2430	3181	4763	3597	6509	5107	3203	7223	4287	2542	7877	5401	3315	6399	3782	3111
gene-HI_0087	6523	7338	6593	3610	4211	3718	2796	3239	3529	3742	4409	3289	3604	5361	3056	2701	4241	2391	2636	1887	422	7610	7402	4630	4418	3905	2843	2883	3443	3257	2814	3733	2905
gene-HI_0088	5485	5938	5456	2570	3190	2756	2153	2538	2330	2923	3567	2400	3278	4985	2903	2945	4318	2587	2466	2157	495	6041	5663	3764	4004	3271	2579	3118	3280	3223	2494	3223	2459
gene-HI_0089	13804	16267	13886	7331	9610	7483	5805	6334	6346	6980	8495	6323	7418	11199	8024	6963	10719	7027	4915	7412	980	15520	13105	10184	8053	7069	6413	7032	7650	7839	4775	6959	6235
gene-HI_0090	1867	2484	2439	2360	2588	1798	1876	2472	2293	2020	2109	1195	2500	3463	1883	2132	2275	2017	1695	1764	764	2704	2280	1906	2910	2015	1816	2704	2630	2246	1851	2206	1959
gene-HI_0091	1153	1292	1208	1955	2574	917	1031	1140	1134	964	1884	1564	885	1277	1305	697	999	1080	700	923	437	1110	964	2280	940	839	1883	925	980	2403	796	1177	1890
gene-HI_0092	1041	1118	1014	2560	3673	1105	1229	1462	1967	949	1864	2246	868	927	1221	640	858	1035	902	1002	832	1121	1040	3591	988	742	2496	1098	984	2692	1095	1144	2217
gene-HI_0093	354	417	376	434	343	294	363	443	396	254	318	292	459	542	368	384	500	400	430	542	417	503	403	481	520	355	526	415	339	392	504	522	555
gene-HI_0094	475	479	468	565	554	471	580	623	636	562	596	332	633	894	668	516	970	582	725	1182	1144	766	606	628	890	520	625	977	825	777	999	855	826
gene-HI_0095	373	418	468	394	485	378	702	846	560	679	1020	393	1360	1806	1766	532	372	4536	171	213	285	937	778	845	1840	1186	1999	608	553	3203	262	303	880
gene-HI_0096	68	97	115	110	122	89	91	95	115	47	56	55	13	61	68	59	29	28	60	46	52	132	45	122	56	24	79	36	39	67	125	47	118
gene-HI_0097	10600	12437	13410	17069	20399	14565	33753	34157	31614	24232	28472	14689	56364	68674	59109	24880	22831	192079	6331	9602	40654	25250	27720	39023	70811	47966	74706	30316	26188	133996	6030	8024	28170
gene-HI_0098	2042	2485	2402	2413	1904	1612	2540	3043	1855	3172	4410	1478	2870	4805	3817	1258	1894	5593	1329	1970	1178	3142	2875	2872	4634	2746	3410	1882	1764	3824	1493	1596	1828
gene-HI_0099	1601	2124	2005	1998	1777	1308	1787	2105	1627	1887	2166	1152	2668	3697	2814	1837	2135	3598	1716	1443	307	2203	1958	2014	3705	2186	2659	2461	2016	3281	1902	1798	2161
gene-HI_0100	601	614	638	529	538	369	453	624	560	221	336	338	221	326	450	196	182	357	212	157	109	345	259	592	311	218	539	229	214	446	244	248	544
